Date,Open,High,Low,Close,Adj Close,Volume
2001-05-15,6.250000,6.250000,6.250000,6.250000,-0.000068,100000
2001-05-16,7.500000,7.500000,6.750000,6.750000,-0.000073,0
2001-05-17,7.500000,7.500000,6.750000,6.750000,-0.000073,0
2001-05-18,7.500000,7.500000,7.500000,7.500000,-0.000081,100000
2001-05-21,8.250000,8.250000,6.500000,6.500000,-0.000070,0
2001-05-22,6.750000,6.750000,6.750000,6.750000,-0.000073,20000
2001-05-23,8.500000,9.750000,8.500000,9.750000,-0.000106,1030000
2001-05-24,null,null,null,null,null,null
2001-05-25,10.500000,10.500000,8.250000,8.250000,-0.000089,0
2001-05-28,8.750000,8.750000,8.750000,8.750000,-0.000095,20000
2001-05-29,10.000000,10.000000,8.750000,8.750000,-0.000095,0
2001-05-30,8.250000,8.750000,8.250000,8.250000,-0.000089,540000
2001-05-31,7.750000,9.500000,7.750000,8.750000,-0.000095,270000
2001-06-01,9.750000,10.250000,7.750000,9.500000,-0.000103,1130000
2001-06-04,null,null,null,null,null,null
2001-06-05,7.750000,7.750000,7.750000,7.750000,-0.000084,10000
2001-06-06,9.000000,9.000000,7.750000,7.750000,-0.000084,0
2001-06-07,7.750000,7.750000,7.500000,7.500000,-0.000081,300000
2001-06-08,7.500000,7.500000,7.500000,7.500000,-0.000081,500000
2001-06-11,8.000000,8.000000,8.000000,8.000000,-0.000087,200000
2001-06-12,7.500000,8.000000,7.500000,8.000000,-0.000087,300000
2001-06-13,9.500000,9.500000,8.500000,9.250000,-0.000100,90000
2001-06-14,8.250000,8.750000,7.000000,7.000000,-0.000076,1100000
2001-06-15,8.250000,8.250000,7.500000,7.500000,-0.000081,0
2001-06-18,8.750000,8.750000,6.750000,6.750000,-0.000073,0
2001-06-19,6.750000,8.250000,6.500000,6.750000,-0.000073,6660000
2001-06-20,7.500000,7.500000,6.750000,6.750000,-0.000073,0
2001-06-21,6.750000,6.750000,6.750000,6.750000,-0.000073,1940000
2001-06-22,7.250000,7.250000,6.750000,6.750000,-0.000073,2210000
2001-06-25,7.000000,7.750000,6.750000,7.000000,-0.000076,1370000
2001-06-26,7.000000,7.000000,7.000000,7.000000,-0.000076,200000
2001-06-27,7.000000,7.000000,7.000000,7.000000,-0.000076,400000
2001-06-28,7.500000,7.500000,6.750000,6.750000,-0.000073,0
2001-06-29,7.500000,7.500000,7.000000,7.000000,-0.000076,0
2001-07-02,7.500000,7.500000,7.000000,7.000000,-0.000076,0
2001-07-03,7.500000,7.500000,7.000000,7.000000,-0.000076,0
2001-07-04,7.500000,7.500000,7.000000,7.000000,-0.000076,810000
2001-07-05,7.500000,7.500000,7.000000,7.000000,-0.000076,0
2001-07-06,7.500000,7.500000,7.500000,7.500000,-0.000081,140000
2001-07-09,7.500000,7.500000,7.000000,7.000000,-0.000076,0
2001-07-10,7.000000,7.000000,7.000000,7.000000,-0.000076,500000
2001-07-11,7.250000,7.250000,7.250000,7.250000,-0.000079,1000000
2001-07-12,7.000000,7.000000,7.000000,7.000000,-0.000076,600000
2001-07-13,7.000000,7.250000,7.000000,7.000000,-0.000076,13040000
2001-07-16,7.000000,7.000000,7.000000,7.000000,-0.000076,100000
2001-07-17,7.250000,7.250000,6.750000,6.750000,-0.000073,0
2001-07-18,7.500000,7.500000,7.000000,7.000000,-0.000076,470000
2001-07-19,7.500000,7.500000,7.000000,7.000000,-0.000076,0
2001-07-20,6.750000,7.250000,6.750000,7.250000,-0.000079,2230000
2001-07-23,7.250000,7.250000,7.250000,7.250000,-0.000079,200000
2001-07-24,7.000000,7.000000,7.000000,7.000000,-0.000076,980000
2001-07-25,7.250000,7.250000,6.750000,6.750000,-0.000073,0
2001-07-26,7.000000,7.000000,6.750000,6.750000,-0.000073,700000
2001-07-27,5.500000,7.000000,5.500000,6.500000,-0.000070,2050000
2001-07-30,6.500000,6.500000,6.500000,6.500000,-0.000070,450000
2001-07-31,6.500000,6.500000,6.000000,6.000000,-0.000065,0
2001-08-01,6.000000,6.000000,6.000000,6.000000,-0.000065,200000
2001-08-02,6.500000,6.500000,6.500000,6.500000,-0.000070,600000
2001-08-03,6.750000,6.750000,6.250000,6.250000,-0.000068,0
2001-08-06,7.000000,7.000000,6.000000,6.000000,-0.000065,0
2001-08-07,7.000000,7.000000,6.000000,6.000000,-0.000065,0
2001-08-08,7.000000,7.000000,6.250000,6.250000,-0.000068,0
2001-08-09,7.000000,7.000000,6.250000,6.250000,-0.000068,0
2001-08-10,7.500000,8.500000,7.000000,7.750000,-0.000084,7500000
2001-08-13,8.000000,8.250000,8.000000,8.000000,-0.000087,1280000
2001-08-14,8.000000,9.750000,8.000000,8.750000,-0.000095,6790000
2001-08-15,9.500000,9.500000,8.750000,8.750000,-0.000095,300000
2001-08-16,9.000000,10.500000,9.000000,9.750000,-0.000106,17590000
2001-08-17,null,null,null,null,null,null
2001-08-20,10.250000,11.500000,10.250000,11.500000,-0.000125,9730000
2001-08-21,11.750000,14.500000,11.750000,14.250000,-0.000154,28460000
2001-08-22,14.500000,16.000000,13.250000,13.500000,-0.000146,76590000
2001-08-23,13.000000,13.250000,11.500000,11.500000,-0.000125,27090000
2001-08-24,11.500000,12.000000,10.750000,10.750000,-0.000116,8490000
2001-08-27,10.750000,11.000000,10.750000,10.750000,-0.000116,210000
2001-08-28,10.500000,11.500000,10.000000,11.500000,-0.000125,10340000
2001-08-29,11.750000,11.750000,11.000000,11.500000,-0.000125,1350000
2001-08-30,11.500000,11.500000,11.250000,11.250000,-0.000122,750000
2001-08-31,11.500000,12.750000,11.500000,12.250000,-0.000133,10550000
2001-09-03,12.250000,13.250000,12.000000,13.000000,-0.000141,6270000
2001-09-04,12.750000,13.500000,12.750000,12.750000,-0.000138,9170000
2001-09-05,12.500000,12.500000,12.500000,12.500000,-0.000135,300000
2001-09-06,12.250000,12.750000,12.250000,12.500000,-0.000135,360000
2001-09-07,11.750000,13.000000,11.250000,13.000000,-0.000141,300000
2001-09-10,12.750000,12.750000,12.500000,12.750000,-0.000138,970000
2001-09-11,12.750000,12.750000,12.250000,12.250000,-0.000133,0
2001-09-12,12.000000,12.000000,10.250000,10.250000,-0.000111,1400000
2001-09-13,12.000000,12.000000,11.750000,12.000000,-0.000130,5550000
2001-09-14,12.500000,12.500000,10.500000,10.500000,-0.000114,4740000
2001-09-17,10.500000,12.000000,10.500000,12.000000,-0.000130,720000
2001-09-18,11.000000,11.000000,10.750000,10.750000,-0.000116,300000
2001-09-19,12.000000,12.250000,12.000000,12.250000,-0.000133,640000
2001-09-20,12.000000,12.000000,11.500000,11.500000,-0.000125,0
2001-09-21,11.500000,11.500000,11.250000,11.250000,-0.000122,880000
2001-09-24,null,null,null,null,null,null
2001-09-25,12.250000,12.250000,10.750000,10.750000,-0.000116,0
2001-09-26,10.500000,10.750000,10.500000,10.750000,-0.000116,1150000
2001-09-27,11.250000,11.250000,11.250000,11.250000,-0.000122,500000
2001-09-28,null,null,null,null,null,null
2001-10-01,11.000000,11.000000,11.000000,11.000000,-0.000119,3000000
2001-10-02,10.500000,11.000000,10.500000,10.500000,-0.000114,750000
2001-10-03,10.500000,10.500000,9.750000,10.500000,-0.000114,3850000
2001-10-04,11.000000,11.000000,10.000000,10.000000,-0.000108,0
2001-10-05,10.000000,10.000000,10.000000,10.000000,-0.000108,200000
2001-10-08,10.000000,10.000000,10.000000,10.000000,-0.000108,2000000
2001-10-09,10.750000,10.750000,7.750000,7.750000,-0.000084,0
2001-10-10,10.000000,11.000000,10.000000,10.250000,-0.000111,1690000
2001-10-11,10.000000,10.000000,8.250000,8.250000,-0.000089,0
2001-10-12,10.500000,10.500000,7.750000,7.750000,-0.000084,0
2001-10-15,null,null,null,null,null,null
2001-10-16,10.000000,10.000000,7.750000,7.750000,-0.000084,0
2001-10-17,10.000000,10.000000,7.750000,7.750000,-0.000084,0
2001-10-18,10.000000,10.000000,10.000000,10.000000,-0.000108,2000000
2001-10-19,10.000000,10.000000,8.000000,8.000000,-0.000087,0
2001-10-22,10.000000,10.000000,7.500000,7.500000,-0.000081,0
2001-10-23,10.000000,10.000000,10.000000,10.000000,-0.000108,10000000
2001-10-24,10.000000,10.000000,7.500000,7.500000,-0.000081,0
2001-10-25,null,null,null,null,null,null
2001-10-26,null,null,null,null,null,null
