Date,Open,High,Low,Close,Adj Close,Volume
2008-08-12,5450.000000,6300.000000,5250.000000,5450.000000,5038.266602,170647008
2008-08-13,5300.000000,5400.000000,5150.000000,5300.000000,4899.598633,10758500
2008-08-14,5450.000000,5500.000000,5300.000000,5450.000000,5038.266602,6105000
2008-08-15,5300.000000,5400.000000,5150.000000,5300.000000,4899.598633,3184500
2008-08-19,4850.000000,5150.000000,4750.000000,4850.000000,4483.594727,4762000
2008-08-20,4550.000000,4975.000000,4500.000000,4550.000000,4206.259277,4818500
2008-08-21,4600.000000,4625.000000,4375.000000,4600.000000,4252.481934,7871500
2008-08-22,4600.000000,4725.000000,4575.000000,4600.000000,4252.481934,10350500
2008-08-25,4625.000000,4625.000000,4500.000000,4625.000000,4275.593262,2204500
2008-08-26,4600.000000,4625.000000,4550.000000,4600.000000,4252.481934,2281000
2008-08-27,4600.000000,4600.000000,4575.000000,4600.000000,4252.481934,735000
2008-08-28,4600.000000,4600.000000,4550.000000,4600.000000,4252.481934,545000
2008-08-29,4600.000000,4600.000000,4525.000000,4600.000000,4252.481934,2333000
2008-09-01,4575.000000,4600.000000,4400.000000,4575.000000,4229.370605,1199500
2008-09-02,4550.000000,4575.000000,4350.000000,4550.000000,4206.259277,2623500
2008-09-03,4375.000000,4450.000000,4375.000000,4375.000000,4044.479980,331500
2008-09-04,4250.000000,4275.000000,4075.000000,4250.000000,3928.923340,2583000
2008-09-05,4175.000000,4175.000000,4025.000000,4175.000000,3859.589355,1059500
2008-09-08,4200.000000,4350.000000,4150.000000,4200.000000,3882.700684,2736500
2008-09-09,4050.000000,4100.000000,3975.000000,4050.000000,3744.033203,3428000
2008-09-10,3575.000000,3900.000000,3575.000000,3575.000000,3304.917969,3389500
2008-09-11,3800.000000,4000.000000,3525.000000,3800.000000,3512.919678,5895500
2008-09-12,3450.000000,3800.000000,3375.000000,3450.000000,3189.361328,213000
2008-09-15,3025.000000,3375.000000,2850.000000,3025.000000,2796.469238,607500
2008-09-16,2525.000000,2700.000000,2400.000000,2525.000000,2334.242676,742000
2008-09-17,2600.000000,2675.000000,2525.000000,2600.000000,2403.576660,588500
2008-09-18,2575.000000,2600.000000,2525.000000,2575.000000,2380.465088,157000
2008-09-19,2725.000000,3000.000000,2600.000000,2725.000000,2519.133301,1909000
2008-09-22,2650.000000,2800.000000,2525.000000,2650.000000,2449.799316,3575000
2008-09-23,2400.000000,2625.000000,2375.000000,2400.000000,2218.686035,1950500
2008-09-24,2350.000000,2400.000000,2275.000000,2350.000000,2172.463623,791500
2008-09-25,2200.000000,2400.000000,2125.000000,2200.000000,2033.795654,1130000
2008-09-26,2100.000000,2150.000000,2075.000000,2100.000000,1941.350342,400000
2008-10-06,1450.000000,1850.000000,1400.000000,1450.000000,1340.456177,1217500
2008-10-07,1200.000000,1400.000000,1180.000000,1200.000000,1109.343018,1578500
2008-10-08,1020.000000,1200.000000,1020.000000,1020.000000,942.941589,330500
2008-10-09,null,null,null,null,null,null
2008-10-10,null,null,null,null,null,null
2008-10-13,980.000000,1030.000000,920.000000,980.000000,905.963501,3717500
2008-10-14,1070.000000,1070.000000,1060.000000,1070.000000,989.164185,16465500
2008-10-15,1170.000000,1170.000000,1100.000000,1170.000000,1081.609497,922500
2008-10-16,1280.000000,1280.000000,1150.000000,1280.000000,1183.299194,1937000
2008-10-17,1400.000000,1400.000000,1400.000000,1400.000000,1294.233643,41000
2008-10-20,1540.000000,1540.000000,1540.000000,1540.000000,1423.656982,82500
2008-10-21,1690.000000,1690.000000,1690.000000,1690.000000,1562.324707,1000
2008-10-22,1850.000000,1850.000000,1830.000000,1850.000000,1710.237305,18249000
2008-10-23,2020.000000,2030.000000,1980.000000,2020.000000,1867.394165,14560500
2008-10-24,null,null,null,null,null,null
2008-10-27,1670.000000,1800.000000,1670.000000,1670.000000,1543.835815,1137500
2008-10-28,1570.000000,1580.000000,1510.000000,1570.000000,1451.390503,3805000
2008-10-29,1550.000000,1600.000000,1550.000000,1550.000000,1432.901489,3381000
2008-10-30,1620.000000,1680.000000,1590.000000,1620.000000,1497.613159,1146500
2008-10-31,1640.000000,1650.000000,1460.000000,1640.000000,1516.102173,926500
2008-11-03,1670.000000,1830.000000,1660.000000,1670.000000,1543.835815,665000
2008-11-04,1680.000000,1710.000000,1610.000000,1680.000000,1553.080322,223500
2008-11-05,1720.000000,1750.000000,1680.000000,1720.000000,1590.058472,1593000
2008-11-06,1720.000000,1720.000000,1600.000000,1720.000000,1590.058472,391000
2008-11-07,1740.000000,1740.000000,1690.000000,1740.000000,1608.547485,417500
2008-11-10,1720.000000,1740.000000,1720.000000,1720.000000,1590.058472,31500
2008-11-11,1740.000000,1750.000000,1730.000000,1740.000000,1608.547485,519500
2008-11-12,1750.000000,1750.000000,1730.000000,1750.000000,1617.791870,280500
2008-11-13,1740.000000,1740.000000,1730.000000,1740.000000,1608.547485,967500
2008-11-14,1740.000000,1750.000000,1700.000000,1740.000000,1608.547485,472000
2008-11-17,1570.000000,1610.000000,1570.000000,1570.000000,1451.390503,135000
2008-11-18,1420.000000,1680.000000,1420.000000,1420.000000,1312.722778,1055000
2008-11-19,1280.000000,1390.000000,1280.000000,1280.000000,1183.299194,1134000
2008-11-20,1160.000000,1180.000000,1160.000000,1160.000000,1072.364990,1122000
2008-11-21,1050.000000,1050.000000,1050.000000,1050.000000,970.675171,365000
2008-11-24,950.000000,980.000000,950.000000,950.000000,878.229919,5744500
2008-11-25,920.000000,1050.000000,900.000000,920.000000,850.496399,3969000
2008-11-26,940.000000,1020.000000,900.000000,940.000000,868.985413,3397500
2008-11-27,850.000000,960.000000,850.000000,850.000000,785.784668,5285000
2008-11-28,null,null,null,null,null,null
2008-12-01,900.000000,950.000000,900.000000,900.000000,832.007263,4049500
2008-12-02,840.000000,880.000000,830.000000,840.000000,776.540161,2668500
2008-12-03,840.000000,870.000000,800.000000,840.000000,776.540161,7328000
2008-12-04,840.000000,880.000000,800.000000,840.000000,776.540161,1633500
2008-12-05,830.000000,830.000000,810.000000,830.000000,767.295654,402500
2008-12-09,850.000000,870.000000,840.000000,850.000000,785.784668,820000
2008-12-10,910.000000,920.000000,860.000000,910.000000,841.251831,2104500
2008-12-11,950.000000,980.000000,910.000000,950.000000,878.229919,1948000
2008-12-12,930.000000,970.000000,920.000000,930.000000,859.740845,2697000
2008-12-15,950.000000,970.000000,940.000000,950.000000,878.229919,2264500
2008-12-16,960.000000,960.000000,940.000000,960.000000,887.474426,1403000
2008-12-17,930.000000,970.000000,920.000000,930.000000,859.740845,1926000
2008-12-18,950.000000,950.000000,900.000000,950.000000,878.229919,1077000
2008-12-19,950.000000,950.000000,930.000000,950.000000,878.229919,1019500
2008-12-22,950.000000,950.000000,930.000000,950.000000,878.229919,1421500
2008-12-23,940.000000,960.000000,930.000000,940.000000,868.985413,798500
2008-12-24,960.000000,960.000000,930.000000,960.000000,887.474426,872500
2008-12-30,940.000000,970.000000,930.000000,940.000000,868.985413,612500
2008-12-31,null,null,null,null,null,null
2009-01-05,1000.000000,1030.000000,960.000000,1000.000000,924.452576,1143500
2009-01-06,null,null,null,null,null,null
2009-01-07,980.000000,1000.000000,960.000000,980.000000,905.963501,1208500
2009-01-08,980.000000,980.000000,960.000000,980.000000,905.963501,768500
2009-01-09,960.000000,980.000000,960.000000,960.000000,887.474426,390500
2009-01-12,940.000000,950.000000,930.000000,940.000000,868.985413,1731500
2009-01-13,970.000000,1030.000000,920.000000,970.000000,896.718994,26590500
2009-01-14,880.000000,1000.000000,880.000000,880.000000,813.518250,17964500
2009-01-15,850.000000,860.000000,820.000000,850.000000,785.784668,3615000
2009-01-16,880.000000,880.000000,830.000000,880.000000,813.518250,483000
2009-01-19,920.000000,920.000000,860.000000,920.000000,850.496399,1145500
2009-01-20,910.000000,920.000000,880.000000,910.000000,841.251831,1468500
2009-01-21,840.000000,930.000000,840.000000,840.000000,776.540161,3182500
2009-01-22,870.000000,900.000000,820.000000,870.000000,804.273743,1471000
2009-01-23,880.000000,900.000000,850.000000,880.000000,813.518250,1028500
2009-01-27,900.000000,920.000000,890.000000,900.000000,832.007263,1818500
2009-01-28,890.000000,910.000000,880.000000,890.000000,822.762817,445500
2009-01-29,890.000000,900.000000,870.000000,890.000000,822.762817,2081500
2009-01-30,890.000000,890.000000,870.000000,890.000000,822.762817,347000
2009-02-02,850.000000,890.000000,850.000000,850.000000,785.784668,1565500
2009-02-03,860.000000,860.000000,850.000000,860.000000,795.029236,1107500
2009-02-04,880.000000,880.000000,870.000000,880.000000,813.518250,1115500
2009-02-05,900.000000,920.000000,880.000000,900.000000,832.007263,1735500
2009-02-06,900.000000,920.000000,890.000000,900.000000,832.007263,1670000
2009-02-09,910.000000,920.000000,890.000000,910.000000,841.251831,962500
2009-02-10,900.000000,920.000000,890.000000,900.000000,832.007263,378500
2009-02-11,930.000000,960.000000,900.000000,930.000000,859.740845,1774500
2009-02-12,940.000000,950.000000,920.000000,940.000000,868.985413,895000
2009-02-13,950.000000,960.000000,940.000000,950.000000,878.229919,1006000
2009-02-16,950.000000,970.000000,940.000000,950.000000,878.229919,1020000
2009-02-17,950.000000,950.000000,920.000000,950.000000,878.229919,1574500
2009-02-18,950.000000,960.000000,940.000000,950.000000,878.229919,1834500
2009-02-19,970.000000,980.000000,940.000000,970.000000,896.718994,8433000
2009-02-20,1000.000000,1070.000000,950.000000,1000.000000,924.452576,3475000
2009-02-23,1030.000000,1040.000000,1000.000000,1030.000000,952.186096,5119500
2009-02-24,1030.000000,1030.000000,1010.000000,1030.000000,952.186096,3556000
2009-02-25,1080.000000,1080.000000,1040.000000,1080.000000,998.408752,1674500
2009-02-26,1130.000000,1150.000000,1100.000000,1130.000000,1044.631348,1540000
2009-02-27,1110.000000,1150.000000,1060.000000,1110.000000,1026.142456,1690500
2009-03-02,1110.000000,1140.000000,1050.000000,1110.000000,1026.142456,4225000
2009-03-03,1140.000000,1150.000000,1100.000000,1140.000000,1053.875854,4253500
2009-03-04,1200.000000,1200.000000,1130.000000,1200.000000,1109.343018,2316000
2009-03-05,1380.000000,1500.000000,1200.000000,1380.000000,1275.744507,6013500
2009-03-06,1360.000000,1430.000000,1310.000000,1360.000000,1257.255615,730000
2009-03-10,1490.000000,1530.000000,1350.000000,1490.000000,1377.434326,9345500
2009-03-11,1500.000000,1650.000000,1470.000000,1500.000000,1386.678833,12665500
2009-03-12,1470.000000,1540.000000,1420.000000,1470.000000,1358.945313,2580500
2009-03-13,1420.000000,1520.000000,1400.000000,1420.000000,1312.722778,1894000
2009-03-16,1410.000000,1430.000000,1360.000000,1410.000000,1303.478149,6962000
