Date,Open,High,Low,Close,Adj Close,Volume
2001-01-31,170.000000,170.000000,115.000000,115.000000,60.644264,0
2001-02-01,180.000000,180.000000,105.000000,105.000000,55.370857,0
2001-02-02,null,null,null,null,null,null
2001-02-05,null,null,null,null,null,null
2001-02-06,145.000000,145.000000,115.000000,115.000000,60.644264,0
2001-02-07,135.000000,135.000000,105.000000,105.000000,55.370857,0
2001-02-08,null,null,null,null,null,null
2001-02-09,null,null,null,null,null,null
2001-02-12,null,null,null,null,null,null
2001-02-13,null,null,null,null,null,null
2001-02-14,null,null,null,null,null,null
2001-02-15,null,null,null,null,null,null
2001-02-16,null,null,null,null,null,null
2001-02-19,null,null,null,null,null,null
2001-02-20,null,null,null,null,null,null
2001-02-21,120.000000,120.000000,105.000000,105.000000,55.370857,0
2001-02-22,null,null,null,null,null,null
2001-02-23,115.000000,115.000000,115.000000,115.000000,60.644264,10000
2001-02-26,110.000000,110.000000,95.000000,95.000000,50.097446,0
2001-02-27,115.000000,115.000000,95.000000,95.000000,50.097446,0
2001-02-28,null,null,null,null,null,null
2001-03-01,115.000000,115.000000,90.000000,90.000000,47.460735,0
2001-03-02,null,null,null,null,null,null
2001-03-05,null,null,null,null,null,null
2001-03-06,null,null,null,null,null,null
2001-03-07,null,null,null,null,null,null
2001-03-08,null,null,null,null,null,null
2001-03-09,null,null,null,null,null,null
2001-03-12,null,null,null,null,null,null
2001-03-13,null,null,null,null,null,null
2001-03-14,null,null,null,null,null,null
2001-03-15,null,null,null,null,null,null
2001-03-16,null,null,null,null,null,null
2001-03-19,null,null,null,null,null,null
2001-03-20,null,null,null,null,null,null
2001-03-21,null,null,null,null,null,null
2001-03-22,null,null,null,null,null,null
2001-03-23,null,null,null,null,null,null
2001-03-26,null,null,null,null,null,null
2001-03-27,null,null,null,null,null,null
2001-03-28,null,null,null,null,null,null
2001-03-29,115.000000,115.000000,105.000000,105.000000,55.370857,0
2001-03-30,115.000000,115.000000,100.000000,100.000000,52.734150,0
2001-04-02,115.000000,115.000000,115.000000,115.000000,60.644264,20000
2001-04-03,null,null,null,null,null,null
2001-04-04,115.000000,115.000000,65.000000,65.000000,34.277199,0
2001-04-05,null,null,null,null,null,null
2001-04-06,null,null,null,null,null,null
2001-04-09,115.000000,115.000000,65.000000,65.000000,34.277199,0
2001-04-10,120.000000,120.000000,65.000000,65.000000,34.277199,0
2001-04-11,null,null,null,null,null,null
2001-04-12,null,null,null,null,null,null
2001-04-13,null,null,null,null,null,null
2001-04-16,null,null,null,null,null,null
2001-04-17,115.000000,115.000000,65.000000,65.000000,34.277199,0
2001-04-18,null,null,null,null,null,null
2001-04-19,null,null,null,null,null,null
2001-04-20,null,null,null,null,null,null
2001-04-23,null,null,null,null,null,null
2001-04-24,115.000000,115.000000,65.000000,65.000000,34.277199,0
2001-04-25,null,null,null,null,null,null
2001-04-26,null,null,null,null,null,null
2001-04-27,null,null,null,null,null,null
2001-04-30,115.000000,115.000000,85.000000,85.000000,44.824024,0
2001-05-01,null,null,null,null,null,null
2001-05-02,null,null,null,null,null,null
2001-05-03,null,null,null,null,null,null
2001-05-04,120.000000,120.000000,120.000000,120.000000,63.280979,10000
2001-05-07,null,null,null,null,null,null
2001-05-08,125.000000,125.000000,105.000000,105.000000,55.370857,0
2001-05-09,120.000000,120.000000,120.000000,120.000000,63.280979,2500
2001-05-10,135.000000,135.000000,95.000000,95.000000,50.097446,0
2001-05-11,120.000000,120.000000,110.000000,110.000000,58.007557,0
2001-05-14,135.000000,135.000000,95.000000,95.000000,50.097446,0
2001-05-15,null,null,null,null,null,null
2001-05-16,null,null,null,null,null,null
2001-05-17,120.000000,120.000000,115.000000,115.000000,60.644264,0
2001-05-18,140.000000,140.000000,105.000000,105.000000,55.370857,0
2001-05-21,120.000000,120.000000,105.000000,105.000000,55.370857,0
2001-05-22,120.000000,120.000000,110.000000,110.000000,58.007557,0
2001-05-23,155.000000,155.000000,110.000000,110.000000,58.007557,0
2001-05-24,null,null,null,null,null,null
2001-05-25,160.000000,160.000000,105.000000,105.000000,55.370857,0
2001-05-28,null,null,null,null,null,null
2001-05-29,160.000000,160.000000,115.000000,115.000000,60.644264,0
2001-05-30,155.000000,155.000000,110.000000,110.000000,58.007557,0
2001-05-31,125.000000,125.000000,120.000000,125.000000,65.917686,112500
2001-06-01,125.000000,125.000000,110.000000,110.000000,58.007557,0
2001-06-04,null,null,null,null,null,null
2001-06-05,135.000000,135.000000,105.000000,105.000000,55.370857,0
2001-06-06,null,null,null,null,null,null
2001-06-07,125.000000,125.000000,115.000000,115.000000,60.644264,0
2001-06-08,125.000000,125.000000,105.000000,105.000000,55.370857,0
2001-06-11,null,null,null,null,null,null
2001-06-12,125.000000,125.000000,100.000000,100.000000,52.734150,0
2001-06-13,125.000000,135.000000,125.000000,130.000000,68.554398,32500
2001-06-14,130.000000,130.000000,115.000000,115.000000,60.644264,0
2001-06-15,null,null,null,null,null,null
2001-06-18,135.000000,135.000000,115.000000,115.000000,60.644264,0
2001-06-19,null,null,null,null,null,null
2001-06-20,135.000000,135.000000,115.000000,115.000000,60.644264,0
2001-06-21,null,null,null,null,null,null
2001-06-22,null,null,null,null,null,null
2001-06-25,130.000000,130.000000,130.000000,130.000000,68.554398,100000
2001-06-26,135.000000,170.000000,135.000000,170.000000,89.648048,427500
2001-06-27,175.000000,175.000000,160.000000,160.000000,84.374641,0
2001-06-28,165.000000,170.000000,165.000000,170.000000,89.648048,50000
2001-06-29,175.000000,175.000000,170.000000,170.000000,89.648048,50000
2001-07-02,180.000000,180.000000,150.000000,150.000000,79.101219,0
2001-07-03,180.000000,180.000000,150.000000,150.000000,79.101219,0
2001-07-04,null,null,null,null,null,null
2001-07-05,200.000000,200.000000,155.000000,155.000000,81.737938,0
2001-07-06,175.000000,175.000000,100.000000,100.000000,52.734150,0
2001-07-09,170.000000,170.000000,130.000000,130.000000,68.554398,0
2001-07-10,null,null,null,null,null,null
2001-07-11,null,null,null,null,null,null
2001-07-12,null,null,null,null,null,null
2001-07-13,null,null,null,null,null,null
2001-07-16,null,null,null,null,null,null
2001-07-17,null,null,null,null,null,null
2001-07-18,null,null,null,null,null,null
2001-07-19,155.000000,175.000000,155.000000,175.000000,92.284752,50000
2001-07-20,null,null,null,null,null,null
2001-07-23,175.000000,175.000000,105.000000,105.000000,55.370857,0
2001-07-24,null,null,null,null,null,null
2001-07-25,null,null,null,null,null,null
2001-07-26,null,null,null,null,null,null
2001-07-27,null,null,null,null,null,null
2001-07-30,null,null,null,null,null,null
2001-07-31,null,null,null,null,null,null
2001-08-01,null,null,null,null,null,null
2001-08-02,null,null,null,null,null,null
2001-08-03,null,null,null,null,null,null
2001-08-06,null,null,null,null,null,null
2001-08-07,null,null,null,null,null,null
2001-08-08,null,null,null,null,null,null
2001-08-09,null,null,null,null,null,null
2001-08-10,null,null,null,null,null,null
2001-08-13,null,null,null,null,null,null
2001-08-14,null,null,null,null,null,null
2001-08-15,null,null,null,null,null,null
2001-08-16,null,null,null,null,null,null
2001-08-17,null,null,null,null,null,null
2001-08-20,200.000000,200.000000,115.000000,115.000000,60.644264,0
2001-08-21,null,null,null,null,null,null
2001-08-22,175.000000,175.000000,105.000000,105.000000,55.370857,0
2001-08-23,175.000000,175.000000,115.000000,115.000000,60.644264,0
2001-08-24,175.000000,175.000000,115.000000,115.000000,60.644264,0
2001-08-27,null,null,null,null,null,null
2001-08-28,null,null,null,null,null,null
2001-08-29,null,null,null,null,null,null
2001-08-30,null,null,null,null,null,null
2001-08-31,null,null,null,null,null,null
2001-09-03,null,null,null,null,null,null
2001-09-04,null,null,null,null,null,null
2001-09-05,null,null,null,null,null,null
2001-09-06,null,null,null,null,null,null
2001-09-07,null,null,null,null,null,null
2001-09-10,null,null,null,null,null,null
2001-09-11,null,null,null,null,null,null
2001-09-12,null,null,null,null,null,null
2001-09-13,null,null,null,null,null,null
2001-09-14,null,null,null,null,null,null
2001-09-17,null,null,null,null,null,null
2001-09-18,null,null,null,null,null,null
2001-09-19,null,null,null,null,null,null
2001-09-20,null,null,null,null,null,null
2001-09-21,null,null,null,null,null,null
2001-09-24,null,null,null,null,null,null
2001-09-25,175.000000,175.000000,85.000000,85.000000,44.824024,0
2001-09-26,null,null,null,null,null,null
2001-09-27,null,null,null,null,null,null
2001-09-28,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-02,null,null,null,null,null,null
2001-10-03,null,null,null,null,null,null
2001-10-04,null,null,null,null,null,null
2001-10-05,null,null,null,null,null,null
2001-10-08,null,null,null,null,null,null
2001-10-09,null,null,null,null,null,null
2001-10-10,null,null,null,null,null,null
2001-10-11,null,null,null,null,null,null
2001-10-12,null,null,null,null,null,null
2001-10-15,null,null,null,null,null,null
2001-10-16,200.000000,200.000000,105.000000,105.000000,55.370857,0
2001-10-17,null,null,null,null,null,null
2001-10-18,null,null,null,null,null,null
2001-10-19,null,null,null,null,null,null
2001-10-22,null,null,null,null,null,null
2001-10-23,null,null,null,null,null,null
2001-10-24,null,null,null,null,null,null
2001-10-25,null,null,null,null,null,null
2001-10-26,null,null,null,null,null,null
2001-10-29,null,null,null,null,null,null
2001-10-30,null,null,null,null,null,null
2001-10-31,null,null,null,null,null,null
2001-11-01,null,null,null,null,null,null
2001-11-02,null,null,null,null,null,null
2001-11-05,175.000000,175.000000,100.000000,100.000000,52.734150,0
2001-11-06,null,null,null,null,null,null
2001-11-07,null,null,null,null,null,null
2001-11-08,null,null,null,null,null,null
2001-11-09,null,null,null,null,null,null
2001-11-12,null,null,null,null,null,null
2001-11-13,130.000000,130.000000,105.000000,105.000000,55.370857,0
2001-11-14,130.000000,130.000000,105.000000,105.000000,55.370857,0
2001-11-15,130.000000,130.000000,130.000000,130.000000,68.554398,7500
2001-11-16,120.000000,120.000000,120.000000,120.000000,63.280979,30000
2001-11-19,120.000000,120.000000,105.000000,105.000000,55.370857,0
2001-11-20,100.000000,100.000000,100.000000,100.000000,52.734150,2500
2001-11-21,120.000000,120.000000,75.000000,75.000000,39.550610,0
2001-11-22,100.000000,100.000000,100.000000,100.000000,52.734150,2500
2001-11-23,120.000000,120.000000,85.000000,85.000000,44.824024,0
2001-11-26,75.000000,75.000000,75.000000,75.000000,39.550610,2500
2001-11-27,120.000000,120.000000,85.000000,85.000000,44.824024,0
2001-11-28,124.000000,124.000000,83.000000,83.000000,43.769341,0
2001-11-29,124.000000,124.000000,80.000000,80.000000,42.187321,0
2001-11-30,null,null,null,null,null,null
2001-12-03,null,null,null,null,null,null
2001-12-04,null,null,null,null,null,null
2001-12-05,89.000000,89.000000,89.000000,89.000000,46.933388,2500
2001-12-06,null,null,null,null,null,null
2001-12-07,120.000000,120.000000,71.000000,71.000000,37.441246,0
2001-12-10,null,null,null,null,null,null
2001-12-11,null,null,null,null,null,null
2001-12-12,null,null,null,null,null,null
2001-12-13,null,null,null,null,null,null
2001-12-14,null,null,null,null,null,null
2001-12-17,null,null,null,null,null,null
2001-12-18,null,null,null,null,null,null
2001-12-19,null,null,null,null,null,null
2001-12-20,120.000000,120.000000,61.000000,61.000000,32.167828,0
2001-12-21,null,null,null,null,null,null
2001-12-24,null,null,null,null,null,null
2001-12-25,null,null,null,null,null,null
2001-12-26,null,null,null,null,null,null
2001-12-27,null,null,null,null,null,null
2001-12-28,null,null,null,null,null,null
2001-12-31,null,null,null,null,null,null
2002-01-01,null,null,null,null,null,null
2002-01-02,null,null,null,null,null,null
2002-01-03,null,null,null,null,null,null
2002-01-04,null,null,null,null,null,null
2002-01-07,null,null,null,null,null,null
2002-01-08,null,null,null,null,null,null
2002-01-09,null,null,null,null,null,null
2002-01-10,null,null,null,null,null,null
2002-01-11,null,null,null,null,null,null
2002-01-14,null,null,null,null,null,null
2002-01-15,null,null,null,null,null,null
2002-01-16,null,null,null,null,null,null
2002-01-17,null,null,null,null,null,null
2002-01-18,null,null,null,null,null,null
2002-01-21,99.000000,99.000000,99.000000,99.000000,52.206810,2500
2002-01-22,null,null,null,null,null,null
2002-01-23,119.000000,119.000000,71.000000,71.000000,37.441246,0
2002-01-24,null,null,null,null,null,null
2002-01-25,null,null,null,null,null,null
2002-01-28,null,null,null,null,null,null
2002-01-29,99.000000,99.000000,99.000000,99.000000,52.206810,2500
2002-01-30,null,null,null,null,null,null
2002-01-31,null,null,null,null,null,null
2002-02-01,null,null,null,null,null,null
2002-02-04,null,null,null,null,null,null
2002-02-05,null,null,null,null,null,null
2002-02-06,null,null,null,null,null,null
2002-02-07,null,null,null,null,null,null
2002-02-08,null,null,null,null,null,null
2002-02-11,null,null,null,null,null,null
2002-02-12,null,null,null,null,null,null
2002-02-13,null,null,null,null,null,null
2002-02-14,null,null,null,null,null,null
2002-02-15,null,null,null,null,null,null
2002-02-18,null,null,null,null,null,null
2002-02-19,null,null,null,null,null,null
2002-02-20,null,null,null,null,null,null
2002-02-21,null,null,null,null,null,null
2002-02-22,null,null,null,null,null,null
2002-02-25,null,null,null,null,null,null
2002-02-26,null,null,null,null,null,null
2002-02-27,null,null,null,null,null,null
2002-02-28,99.000000,99.000000,81.000000,81.000000,42.714661,0
2002-03-01,99.000000,99.000000,99.000000,99.000000,52.206810,25000
2002-03-04,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-05,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-06,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-07,99.000000,99.000000,70.000000,70.000000,36.913906,0
2002-03-08,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-11,null,null,null,null,null,null
2002-03-12,null,null,null,null,null,null
2002-03-13,null,null,null,null,null,null
2002-03-14,null,null,null,null,null,null
2002-03-15,null,null,null,null,null,null
2002-03-18,null,null,null,null,null,null
2002-03-19,null,null,null,null,null,null
2002-03-20,99.000000,99.000000,65.000000,65.000000,34.277199,0
2002-03-21,99.000000,99.000000,65.000000,65.000000,34.277199,0
2002-03-22,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-25,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-26,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-27,null,null,null,null,null,null
2002-03-28,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-03-29,null,null,null,null,null,null
2002-04-01,null,null,null,null,null,null
2002-04-02,null,null,null,null,null,null
2002-04-03,null,null,null,null,null,null
2002-04-04,99.000000,99.000000,71.000000,71.000000,37.441246,0
2002-04-05,null,null,null,null,null,null
2002-04-08,null,null,null,null,null,null
2002-04-09,null,null,null,null,null,null
2002-04-10,null,null,null,null,null,null
2002-04-11,null,null,null,null,null,null
2002-04-12,null,null,null,null,null,null
2002-04-15,null,null,null,null,null,null
2002-04-16,null,null,null,null,null,null
2002-04-17,null,null,null,null,null,null
2002-04-18,null,null,null,null,null,null
2002-04-19,null,null,null,null,null,null
2002-04-22,null,null,null,null,null,null
2002-04-23,null,null,null,null,null,null
2002-04-24,null,null,null,null,null,null
2002-04-25,null,null,null,null,null,null
2002-04-26,null,null,null,null,null,null
2002-04-29,null,null,null,null,null,null
2002-04-30,null,null,null,null,null,null
2002-05-01,null,null,null,null,null,null
2002-05-02,null,null,null,null,null,null
2002-05-03,null,null,null,null,null,null
2002-05-06,null,null,null,null,null,null
2002-05-07,null,null,null,null,null,null
2002-05-08,110.000000,125.000000,110.000000,125.000000,65.917686,5000
2002-05-09,null,null,null,null,null,null
2002-05-10,115.000000,150.000000,115.000000,150.000000,79.101219,17500
2002-05-13,150.000000,150.000000,130.000000,140.000000,73.827812,10000
2002-05-14,135.000000,140.000000,135.000000,140.000000,73.827812,7500
