Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,500.000000,550.000000,460.000000,525.000000,525.000000,55682800
2018-06-11,null,null,null,null,null,null
2018-06-12,null,null,null,null,null,null
2018-06-13,null,null,null,null,null,null
2018-06-14,null,null,null,null,null,null
2018-06-15,null,null,null,null,null,null
2018-06-18,null,null,null,null,null,null
2018-06-19,null,null,null,null,null,null
2018-06-20,525.000000,525.000000,470.000000,498.000000,498.000000,6571500
2018-06-21,498.000000,505.000000,480.000000,505.000000,505.000000,3479900
2018-06-22,505.000000,505.000000,472.000000,482.000000,482.000000,4109300
2018-06-25,482.000000,484.000000,462.000000,484.000000,484.000000,2029200
2018-06-26,474.000000,474.000000,448.000000,470.000000,470.000000,3645500
2018-06-27,468.000000,470.000000,448.000000,464.000000,464.000000,2933500
2018-06-28,462.000000,464.000000,444.000000,462.000000,462.000000,1520400
2018-06-29,460.000000,460.000000,440.000000,460.000000,460.000000,1956300
2018-07-02,448.000000,450.000000,436.000000,450.000000,450.000000,2014800
2018-07-03,448.000000,450.000000,432.000000,446.000000,446.000000,2033500
2018-07-04,436.000000,448.000000,424.000000,448.000000,448.000000,1902600
2018-07-05,440.000000,470.000000,438.000000,470.000000,470.000000,1190800
2018-07-06,470.000000,494.000000,466.000000,476.000000,476.000000,67500
2018-07-09,484.000000,486.000000,466.000000,486.000000,486.000000,1199500
2018-07-10,484.000000,484.000000,470.000000,480.000000,480.000000,729500
2018-07-11,478.000000,484.000000,462.000000,484.000000,484.000000,833300
2018-07-12,474.000000,486.000000,472.000000,486.000000,486.000000,1784000
2018-07-13,490.000000,510.000000,484.000000,505.000000,505.000000,2320000
2018-07-16,505.000000,505.000000,488.000000,490.000000,490.000000,4696700
2018-07-17,490.000000,492.000000,476.000000,490.000000,490.000000,5022900
2018-07-18,494.000000,494.000000,478.000000,484.000000,484.000000,3588800
2018-07-19,484.000000,492.000000,474.000000,482.000000,482.000000,4647500
2018-07-20,482.000000,482.000000,468.000000,480.000000,480.000000,2896700
2018-07-23,480.000000,480.000000,464.000000,470.000000,470.000000,3709000
2018-07-24,488.000000,488.000000,462.000000,470.000000,470.000000,2102700
2018-07-25,470.000000,488.000000,466.000000,472.000000,472.000000,1497100
2018-07-26,472.000000,476.000000,464.000000,472.000000,472.000000,1199000
2018-07-27,470.000000,474.000000,464.000000,464.000000,464.000000,747300
2018-07-30,464.000000,468.000000,454.000000,454.000000,454.000000,3285100
2018-07-31,456.000000,462.000000,444.000000,444.000000,444.000000,2460200
2018-08-01,446.000000,446.000000,434.000000,440.000000,440.000000,2474900
2018-08-02,440.000000,442.000000,430.000000,430.000000,430.000000,1430200
2018-08-03,432.000000,500.000000,426.000000,500.000000,500.000000,5344500
2018-08-06,500.000000,500.000000,468.000000,494.000000,494.000000,1790700
2018-08-07,494.000000,494.000000,476.000000,486.000000,486.000000,1878900
