Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,1750.000000,1760.000000,1750.000000,1750.000000,832.208313,210000
2005-09-30,1820.000000,1830.000000,1750.000000,1820.000000,865.496521,5280000
2005-10-03,1800.000000,1820.000000,1790.000000,1800.000000,855.985535,315000
2005-10-04,1830.000000,1830.000000,1830.000000,1830.000000,870.252075,80000
2005-10-05,1820.000000,1830.000000,1820.000000,1820.000000,865.496521,230000
2005-10-06,1800.000000,1800.000000,1800.000000,1800.000000,855.985535,1240000
2005-10-07,1780.000000,1790.000000,1770.000000,1780.000000,846.474609,1675000
2005-10-10,1760.000000,1790.000000,1760.000000,1760.000000,836.963684,905000
2005-10-11,1760.000000,1760.000000,1760.000000,1760.000000,836.963684,300000
2005-10-12,1760.000000,1760.000000,1760.000000,1760.000000,836.963684,0
2005-10-13,1765.000000,1765.000000,1765.000000,1765.000000,839.341431,40000
2005-10-14,1775.000000,1775.000000,1770.000000,1775.000000,844.096985,325000
2005-10-17,null,null,null,null,null,null
2005-10-18,1810.000000,1815.000000,1800.000000,1810.000000,860.741028,625000
2005-10-19,1810.000000,1830.000000,1785.000000,1810.000000,860.741028,1040000
2005-10-20,null,null,null,null,null,null
2005-10-21,1830.000000,1830.000000,1820.000000,1830.000000,870.252075,20000
2005-10-24,1830.000000,1830.000000,1810.000000,1830.000000,870.252075,105000
2005-10-25,null,null,null,null,null,null
2005-10-26,1830.000000,1830.000000,1830.000000,1830.000000,870.252075,1180000
2005-10-27,1850.000000,1850.000000,1850.000000,1850.000000,879.762939,305000
2005-10-28,1860.000000,1880.000000,1860.000000,1860.000000,884.518311,380000
2005-10-31,1870.000000,1870.000000,1860.000000,1870.000000,889.273743,170000
2005-11-01,1890.000000,1900.000000,1870.000000,1890.000000,898.784790,1815000
2005-11-07,null,null,null,null,null,null
2005-11-08,null,null,null,null,null,null
2005-11-09,null,null,null,null,null,null
2005-11-10,1870.000000,1870.000000,1870.000000,1870.000000,889.273743,90000
2005-11-11,1870.000000,1870.000000,1860.000000,1870.000000,889.273743,1935000
2005-11-14,1860.000000,1865.000000,1850.000000,1860.000000,884.518311,2805000
2005-11-15,1860.000000,1870.000000,1860.000000,1860.000000,884.518311,10365000
2005-11-16,1850.000000,1880.000000,1850.000000,1850.000000,879.762939,235000
2005-11-17,1915.000000,1915.000000,1855.000000,1915.000000,910.673401,1755000
2005-11-18,1965.000000,1980.000000,1920.000000,1965.000000,934.450867,2115000
2005-11-21,1965.000000,1970.000000,1960.000000,1965.000000,934.450867,920000
2005-11-22,1965.000000,1965.000000,1800.000000,1965.000000,934.450867,60000
2005-11-23,1900.000000,1965.000000,1900.000000,1900.000000,903.540344,40000
2005-11-24,1870.000000,1905.000000,1810.000000,1870.000000,889.273743,55000
2005-11-25,1870.000000,1870.000000,1870.000000,1870.000000,889.273743,0
2005-11-28,1870.000000,1880.000000,1870.000000,1870.000000,889.273743,655000
2005-11-29,1805.000000,1840.000000,1800.000000,1805.000000,858.363281,1165000
2005-11-30,1790.000000,1810.000000,1775.000000,1790.000000,851.230103,1095000
2005-12-01,1745.000000,1790.000000,1725.000000,1745.000000,829.830505,2840000
2005-12-02,1795.000000,1800.000000,1750.000000,1795.000000,853.608032,1230000
2005-12-05,1790.000000,1790.000000,1780.000000,1790.000000,851.230103,205000
