Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,272.000000,272.000000,200.000000,272.000000,272.000000,196250900
2018-06-11,null,null,null,null,null,null
2018-06-12,null,null,null,null,null,null
2018-06-13,null,null,null,null,null,null
2018-06-14,null,null,null,null,null,null
2018-06-15,null,null,null,null,null,null
2018-06-18,null,null,null,null,null,null
2018-06-19,null,null,null,null,null,null
2018-06-20,278.000000,340.000000,278.000000,340.000000,340.000000,139463700
2018-06-21,370.000000,424.000000,348.000000,424.000000,424.000000,204325500
2018-06-22,426.000000,530.000000,424.000000,530.000000,530.000000,208271000
2018-06-25,530.000000,660.000000,460.000000,615.000000,615.000000,308403200
2018-06-26,610.000000,665.000000,464.000000,520.000000,520.000000,277364700
2018-06-27,520.000000,560.000000,450.000000,452.000000,452.000000,257865200
2018-06-28,450.000000,565.000000,420.000000,565.000000,565.000000,314754700
2018-06-29,590.000000,630.000000,434.000000,442.000000,442.000000,621895800
2018-07-02,442.000000,476.000000,332.000000,334.000000,334.000000,517130100
2018-07-03,332.000000,342.000000,252.000000,260.000000,260.000000,460934600
2018-07-04,252.000000,324.000000,195.000000,198.000000,198.000000,678617200
2018-07-05,200.000000,216.000000,179.000000,195.000000,195.000000,180224300
2018-07-06,196.000000,199.000000,180.000000,181.000000,181.000000,43373800
2018-07-09,181.000000,199.000000,181.000000,185.000000,185.000000,65542200
2018-07-10,188.000000,193.000000,183.000000,184.000000,184.000000,45173900
2018-07-11,186.000000,186.000000,177.000000,179.000000,179.000000,33956800
2018-07-12,179.000000,182.000000,172.000000,173.000000,173.000000,25646300
2018-07-13,173.000000,190.000000,173.000000,180.000000,180.000000,90471300
2018-07-16,181.000000,186.000000,178.000000,181.000000,181.000000,32922300
2018-07-17,181.000000,183.000000,174.000000,175.000000,175.000000,21295800
2018-07-18,176.000000,180.000000,172.000000,173.000000,173.000000,16432000
2018-07-19,173.000000,182.000000,171.000000,179.000000,179.000000,24924600
2018-07-20,181.000000,183.000000,174.000000,176.000000,176.000000,14468200
2018-07-23,176.000000,178.000000,173.000000,173.000000,173.000000,11065800
2018-07-24,174.000000,176.000000,169.000000,170.000000,170.000000,18029500
2018-07-25,170.000000,172.000000,168.000000,170.000000,170.000000,18618500
2018-07-26,170.000000,171.000000,169.000000,169.000000,169.000000,8564800
2018-07-27,169.000000,171.000000,165.000000,166.000000,166.000000,14910700
2018-07-30,166.000000,166.000000,160.000000,161.000000,161.000000,17630900
2018-07-31,161.000000,163.000000,152.000000,152.000000,152.000000,22501400
2018-08-01,151.000000,177.000000,151.000000,164.000000,164.000000,108512700
2018-08-02,168.000000,174.000000,161.000000,162.000000,162.000000,44981100
2018-08-03,162.000000,164.000000,156.000000,156.000000,156.000000,13419500
2018-08-06,158.000000,160.000000,155.000000,157.000000,157.000000,12923900
2018-08-07,158.000000,173.000000,156.000000,163.000000,163.000000,53739400
