Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,187.000000,187.000000,187.000000,187.000000,187.000000,73100
2017-05-12,252.000000,252.000000,252.000000,252.000000,252.000000,2807300
2017-05-15,252.000000,314.000000,252.000000,314.000000,314.000000,8492200
2017-05-16,336.000000,392.000000,336.000000,392.000000,392.000000,866800
2017-05-17,410.000000,490.000000,410.000000,490.000000,490.000000,312200
2017-05-18,550.000000,610.000000,550.000000,610.000000,610.000000,3149900
2017-05-19,615.000000,760.000000,615.000000,700.000000,700.000000,3842200
2017-05-22,700.000000,700.000000,700.000000,700.000000,700.000000,0
2017-05-23,700.000000,760.000000,640.000000,720.000000,720.000000,2416700
2017-05-24,720.000000,740.000000,715.000000,730.000000,730.000000,828600
2017-05-26,725.000000,740.000000,720.000000,740.000000,740.000000,957500
2017-05-29,725.000000,790.000000,725.000000,790.000000,790.000000,1740600
2017-05-30,775.000000,800.000000,775.000000,795.000000,795.000000,572500
2017-05-31,795.000000,820.000000,780.000000,815.000000,815.000000,831000
2017-06-01,815.000000,815.000000,815.000000,815.000000,815.000000,0
2017-06-02,800.000000,810.000000,800.000000,805.000000,805.000000,192700
2017-06-05,810.000000,840.000000,810.000000,835.000000,835.000000,433000
2017-06-06,830.000000,845.000000,830.000000,840.000000,840.000000,336700
2017-06-07,835.000000,845.000000,835.000000,840.000000,840.000000,189700
2017-06-08,840.000000,875.000000,835.000000,870.000000,870.000000,667300
2017-06-09,865.000000,910.000000,865.000000,910.000000,910.000000,639600
2017-06-12,905.000000,955.000000,905.000000,955.000000,955.000000,656900
2017-06-13,950.000000,1190.000000,945.000000,1190.000000,1190.000000,1972800
2017-06-14,1185.000000,1485.000000,1145.000000,1475.000000,1475.000000,2274300
2017-06-15,1475.000000,1590.000000,1360.000000,1360.000000,1360.000000,3489800
2017-06-16,1360.000000,1520.000000,1360.000000,1390.000000,1390.000000,2194800
2017-06-19,1365.000000,1415.000000,1365.000000,1395.000000,1395.000000,1281800
2017-06-20,1390.000000,1390.000000,1365.000000,1380.000000,1380.000000,1746400
2017-06-21,1380.000000,1415.000000,1375.000000,1375.000000,1375.000000,382000
2017-06-22,1380.000000,1390.000000,1375.000000,1375.000000,1375.000000,316200
2017-06-23,1375.000000,1375.000000,1375.000000,1375.000000,1375.000000,0
2017-06-26,1375.000000,1375.000000,1375.000000,1375.000000,1375.000000,0
2017-06-27,1375.000000,1375.000000,1375.000000,1375.000000,1375.000000,0
2017-06-28,1375.000000,1375.000000,1375.000000,1375.000000,1375.000000,0
2017-06-29,1375.000000,1375.000000,1375.000000,1375.000000,1375.000000,0
2017-06-30,1375.000000,1375.000000,1375.000000,1375.000000,1375.000000,0
2017-07-03,1380.000000,1450.000000,1380.000000,1445.000000,1445.000000,591900
2017-07-04,1430.000000,1800.000000,1430.000000,1790.000000,1790.000000,1583300
2017-07-05,1790.000000,1790.000000,1790.000000,1790.000000,1790.000000,0
2017-07-06,1790.000000,1790.000000,1790.000000,1790.000000,1790.000000,0
2017-07-07,1790.000000,1790.000000,1790.000000,1790.000000,1790.000000,0
2017-07-10,1745.000000,1770.000000,1725.000000,1730.000000,1730.000000,1177200
2017-07-11,1735.000000,1970.000000,1735.000000,1790.000000,1790.000000,1251500
2017-07-12,1790.000000,1875.000000,1785.000000,1805.000000,1805.000000,793400
2017-07-13,1795.000000,1835.000000,1795.000000,1805.000000,1805.000000,485400
2017-07-14,1805.000000,1850.000000,1805.000000,1815.000000,1815.000000,541700
2017-07-17,1815.000000,1880.000000,1810.000000,1810.000000,1810.000000,906700
2017-07-18,1805.000000,1855.000000,1805.000000,1815.000000,1815.000000,737000
2017-07-19,1815.000000,1845.000000,1815.000000,1835.000000,1835.000000,357000
2017-07-20,1835.000000,1855.000000,1835.000000,1835.000000,1835.000000,416200
2017-07-21,1835.000000,1845.000000,1835.000000,1835.000000,1835.000000,357900
2017-07-24,1835.000000,1850.000000,1835.000000,1850.000000,1850.000000,285900
2017-07-25,1840.000000,1890.000000,1840.000000,1885.000000,1885.000000,457900
2017-07-26,1865.000000,1890.000000,1865.000000,1870.000000,1870.000000,393900
2017-07-27,1855.000000,2100.000000,1855.000000,1860.000000,1860.000000,761300
2017-07-28,1860.000000,1940.000000,1860.000000,1910.000000,1910.000000,747500
2017-07-31,1910.000000,2100.000000,1905.000000,2070.000000,2070.000000,842700
2017-08-01,2060.000000,2280.000000,2060.000000,2240.000000,2240.000000,801400
2017-08-02,2450.000000,2490.000000,2210.000000,2450.000000,2450.000000,1012000
2017-08-03,2410.000000,3000.000000,2400.000000,2980.000000,2980.000000,1093700
2017-08-04,2980.000000,3590.000000,2980.000000,3500.000000,3500.000000,1810300
2017-08-07,3450.000000,3500.000000,3170.000000,3230.000000,3230.000000,1068800
2017-08-08,3240.000000,3300.000000,3230.000000,3240.000000,3240.000000,1098900
2017-08-09,3240.000000,3290.000000,3230.000000,3230.000000,3230.000000,790600
2017-08-10,3230.000000,3260.000000,3230.000000,3240.000000,3240.000000,847600
2017-08-11,3240.000000,3280.000000,3230.000000,3240.000000,3240.000000,273500
2017-08-14,3240.000000,3250.000000,3230.000000,3240.000000,3240.000000,135400
2017-08-15,3240.000000,3450.000000,3240.000000,3350.000000,3350.000000,607300
2017-08-16,3250.000000,3350.000000,3240.000000,3270.000000,3270.000000,425600
2017-08-17,3270.000000,3270.000000,3270.000000,3270.000000,3270.000000,0
2017-08-18,3240.000000,3330.000000,3240.000000,3270.000000,3270.000000,667200
2017-08-21,3270.000000,3280.000000,3250.000000,3260.000000,3260.000000,229700
2017-08-22,3250.000000,4070.000000,3250.000000,4070.000000,4070.000000,1239100
2017-08-23,4100.000000,4950.000000,3840.000000,4070.000000,4070.000000,1125300
2017-08-24,4070.000000,4350.000000,3630.000000,3650.000000,3650.000000,670800
2017-08-25,3650.000000,3740.000000,3500.000000,3580.000000,3580.000000,440600
2017-08-28,3580.000000,3800.000000,3580.000000,3670.000000,3670.000000,233000
2017-08-29,3670.000000,3710.000000,3650.000000,3670.000000,3670.000000,286800
2017-08-30,3670.000000,3710.000000,3650.000000,3670.000000,3670.000000,452100
